,timestamp,Qmc,Qhv,Qlv,Qmv,Label
72,08/10/2015 07:00,0.446501412,0.460767947,0.342988584,0.385334982,1
73,10/10/2015 13:00,0.705365548,0.449081803,0.737263588,0.732014105,2
74,07/10/2015 21:00,0.470034515,0.247078464,0.625489862,0.585534972,1
75,07/10/2015 11:00,0.811421399,0.393989983,0.813596865,0.803102468,3
76,10/10/2015 06:00,0.18387198,0.068447412,0.032032714,0.060970475,0
77,10/10/2015 01:00,0.068402887,0.085141903,0.136650196,0.124098732,0
78,04/10/2015 06:00,0.158770003,0.060100167,0.044300562,0.065378138,0
79,05/10/2015 17:00,0.7295262,0.429048414,0.834724825,0.809273196,3
80,10/10/2015 07:00,0.640100408,0.392320534,0.263077185,0.34908689,1
81,07/10/2015 07:00,0.482271729,0.277128548,0.174305674,0.242263565,1
82,05/10/2015 23:00,0.22654534,0.115191987,0.387289146,0.347244882,1
83,08/10/2015 11:00,0.707248196,0.422370618,0.754131879,0.74261881,2
84,06/10/2015 15:00,0.798556636,0.407345576,0.847844607,0.828759013,3
85,07/10/2015 14:00,0.864135551,0.540901503,0.901346056,0.894755539,3
86,07/10/2015 08:00,0.768434264,0.475792988,0.580337366,0.62415136,2
87,06/10/2015 11:00,0.839661123,0.45409015,0.797239734,0.801365718,3
88,05/10/2015 01:00,0.060872294,0.048414023,0.115181462,0.102494606,0
89,08/10/2015 05:00,0.056793222,0.016694491,0,0.009617915,0
90,08/10/2015 22:00,0.30310637,0.280467446,0.527347078,0.485171833,1
91,07/10/2015 17:00,0.817696894,0.656093489,0.830805929,0.844297669,3
92,07/10/2015 05:00,0.060244744,0.011686144,0.016357131,0.022314615,0
93,09/10/2015 03:00,0.002196423,0.006677796,0.019424093,0.014433451,0
94,08/10/2015 23:00,0.189833699,0.16360601,0.382688703,0.342495132,1
95,08/10/2015 02:00,0.022905554,0.026711185,0.069177032,0.058378506,0
96,06/10/2015 19:00,0.601819893,0.300500835,0.805759073,0.752315668,2
