,0.1,timestamp,Qmc,Qhv,Qlv,Qmv,Label
0,0,04/10/2015 12:00,0.62692187,0.355592654,0.621059806,0.61954634,3
1,1,04/10/2015 06:00,0.158770003,0.060100167,0.044300562,0.065378138,1
2,2,07/10/2015 11:00,0.811421399,0.393989983,0.813596865,0.803102468,4
3,3,04/10/2015 18:00,0.651396297,0.425709516,0.879366161,0.830298405,4
4,4,05/10/2015 01:00,0.060872294,0.048414023,0.115181462,0.102494606,1
5,5,05/10/2015 12:00,0.463131472,0.340567613,0.691429545,0.644873954,3
6,6,05/10/2015 23:00,0.22654534,0.115191987,0.387289146,0.347244882,2
7,7,06/10/2015 19:00,0.601819893,0.300500835,0.805759073,0.752315668,3
8,8,07/10/2015 04:00,0.011923439,0.010016694,0.017549838,0.014959739,1
9,9,08/10/2015 23:00,0.189833699,0.16360601,0.382688703,0.342495132,2
10,10,07/10/2015 15:00,0.899592093,0.577629382,0.894871358,0.899465818,4
11,11,09/10/2015 19:00,0.677439598,0.444073456,0.833020958,0.800760486,4
12,12,06/10/2015 01:00,0.077188579,0.056761269,0.132390526,0.119375296,1
13,13,10/10/2015 19:00,0.63288359,0.307178631,0.767081274,0.728343245,3
14,14,09/10/2015 18:00,0.953247568,0.524207012,0.867439087,0.881808852,4
15,15,04/10/2015 01:00,0.080012551,0.053422371,0.093201568,0.089245303,1
16,16,07/10/2015 20:00,0.705365548,0.362270451,0.72925541,0.716935951,3
17,17,10/10/2015 05:00,0.060872294,0.011686144,0.01482365,0.021235724,1
18,18,06/10/2015 18:00,0.847819266,0.357262104,0.754472653,0.759788958,3
19,19,08/10/2015 15:00,0.630687167,0.437395659,0.808826035,0.773551392,3
20,20,08/10/2015 20:00,0.515845623,0.285475793,0.722780712,0.672280406,3
21,21,05/10/2015 11:00,0.570442422,0.388981636,0.702163912,0.676122309,3
22,22,09/10/2015 09:00,0.857232507,0.652754591,0.756006134,0.792826693,4
23,23,09/10/2015 06:00,0.180420458,0.061769616,0.039700119,0.065628125,1
24,24,10/10/2015 23:00,0.278945717,0.170283806,0.441301755,0.403386664,2
25,25,07/10/2015 21:00,0.470034515,0.247078464,0.625489862,0.585534972,2
26,26,06/10/2015 00:00,0.144336366,0.07345576,0.247060828,0.220896269,2
27,27,06/10/2015 06:00,0.158770003,0.058430718,0.035270063,0.058233777,1
28,28,04/10/2015 23:00,0.218387198,0.153589316,0.368887374,0.335600758,2
29,29,08/10/2015 03:00,0,0.030050083,0.017890612,0.015275512,1
30,30,08/10/2015 11:00,0.707248196,0.422370618,0.754131879,0.74261881,3
31,31,05/10/2015 05:00,0.050203954,0.001669449,0.007667405,0.012894058,1
32,32,07/10/2015 14:00,0.864135551,0.540901503,0.901346056,0.894755539,4
33,33,09/10/2015 15:00,0.853467211,0.412353923,0.865735219,0.852297248,4
34,34,10/10/2015 07:00,0.640100408,0.392320534,0.263077185,0.34908689,2
35,35,09/10/2015 10:00,0.933165987,0.549248748,0.947009712,0.942450397,4
36,36,06/10/2015 21:00,0.396297458,0.248747913,0.636224229,0.581627283,2
37,37,07/10/2015 02:00,0.040790712,0.031719533,0.073777475,0.065443924,1
38,38,04/10/2015 22:00,0.317226232,0.233722871,0.518827739,0.476172307,2
39,39,04/10/2015 19:00,0.481644179,0.263772955,0.682399046,0.63313773,3
40,40,04/10/2015 14:00,0.693755883,0.457429048,0.692622253,0.696450187,3
41,41,05/10/2015 14:00,0.750549106,0.404006678,0.741693645,0.738395348,3
