,0.1,timestamp,Qmc,Qhv,Qlv,Qmv,Label
0,0,08/10/2015 22:00,0.30310637,0.280467446,0.527347078,0.485171833,2
1,1,10/10/2015 11:00,0.772513335,0.447412354,0.802692111,0.793629283,4
2,2,04/10/2015 06:00,0.158770003,0.060100167,0.044300562,0.065378138,1
3,3,08/10/2015 05:00,0.056793222,0.016694491,0,0.009617915,1
4,4,04/10/2015 14:00,0.693755883,0.457429048,0.692622253,0.696450187,3
5,5,07/10/2015 16:00,0.836209602,0.677796327,0.754131879,0.790418925,3
6,6,09/10/2015 07:00,0.671477879,0.452420701,0.324757199,0.408136414,2
7,7,07/10/2015 22:00,0.318167556,0.248747913,0.514056909,0.474185569,2
8,8,06/10/2015 23:00,0.228741763,0.160267112,0.379110581,0.345916004,2
9,9,09/10/2015 06:00,0.180420458,0.061769616,0.039700119,0.065628125,1
10,10,06/10/2015 11:00,0.839661123,0.45409015,0.797239734,0.801365718,4
11,11,06/10/2015 06:00,0.158770003,0.058430718,0.035270063,0.058233777,1
12,12,10/10/2015 08:00,0.947285849,0.711185309,0.896575226,0.922464607,4
13,13,08/10/2015 16:00,0.684970191,0.444073456,0.845118419,0.811365191,4
14,14,10/10/2015 20:00,0.511766552,0.295492487,0.638780031,0.607757486,2
15,15,05/10/2015 17:00,0.7295262,0.429048414,0.834724825,0.809273196,4
16,16,06/10/2015 21:00,0.396297458,0.248747913,0.636224229,0.581627283,2
17,17,04/10/2015 18:00,0.651396297,0.425709516,0.879366161,0.830298405,4
18,18,08/10/2015 10:00,0.741135864,0.492487479,0.800817857,0.791537288,4
19,19,07/10/2015 14:00,0.864135551,0.540901503,0.901346056,0.894755539,4
20,20,04/10/2015 13:00,0.595544399,0.432387312,0.603680354,0.608731119,2
21,21,08/10/2015 00:00,0.138374647,0.075125209,0.258817516,0.229145834,2
22,22,10/10/2015 21:00,0.475368685,0.293823038,0.607258477,0.577140677,2
23,23,10/10/2015 15:00,0.661750863,0.575959933,0.890952462,0.85637598,4
24,24,09/10/2015 23:00,0.229683088,0.166944908,0.395467712,0.35938898,2
25,25,08/10/2015 14:00,0.700972702,0.425709516,0.799795536,0.777169623,3
26,26,04/10/2015 01:00,0.080012551,0.053422371,0.093201568,0.089245303,1
27,27,09/10/2015 12:00,0.681204895,0.409015025,0.781223377,0.757802221,3
28,28,06/10/2015 00:00,0.144336366,0.07345576,0.247060828,0.220896269,2
29,29,09/10/2015 01:00,0.061499843,0.050083472,0.142443346,0.12382243,1
30,30,10/10/2015 12:00,0.688421713,0.355592654,0.766910888,0.742487238,3
31,31,10/10/2015 14:00,0.916222152,0.495826377,0.82654626,0.841113626,4
32,32,04/10/2015 22:00,0.317226232,0.233722871,0.518827739,0.476172307,2
33,33,07/10/2015 07:00,0.482271729,0.277128548,0.174305674,0.242263565,2
34,34,05/10/2015 01:00,0.060872294,0.048414023,0.115181462,0.102494606,1
35,35,05/10/2015 10:00,0.667085033,0.437395659,0.658033737,0.663215094,3
36,36,08/10/2015 11:00,0.707248196,0.422370618,0.754131879,0.74261881,3
37,37,06/10/2015 13:00,0.663005962,0.484140234,0.721758392,0.716528077,3
38,38,07/10/2015 20:00,0.705365548,0.362270451,0.72925541,0.716935951,3
39,39,06/10/2015 17:00,0.698462504,0.480801336,0.827227807,0.803576128,4
40,40,09/10/2015 08:00,1,0.69115192,0.950417448,0.970830483,4
41,41,10/10/2015 09:00,0.88139316,0.61769616,0.962003749,0.952357771,4
42,42,05/10/2015 08:00,0.485409476,0.365609349,0.421196115,0.442503026,2
43,43,05/10/2015 02:00,0.030749922,0.028380634,0.048219458,0.043681911,1
44,44,10/10/2015 16:00,0.733919046,1,0.90799114,0.92508289,4
45,45,08/10/2015 13:00,0.732036398,0.393989983,0.73504856,0.729132677,3
46,46,08/10/2015 03:00,0,0.030050083,0.017890612,0.015275512,1
47,47,08/10/2015 01:00,0.078443677,0.061769616,0.146532629,0.13101942,1
48,48,11/10/2015 00:00,0.159397553,0.116861436,0.264781053,0.241553076,2
