,0.1,timestamp,Qmc,Qhv,Qlv,Qmv
34,34,05/10/2015 22:00,0.317853781,0.232053422,0.591412506,0.532156202
35,35,04/10/2015 20:00,0.446815187,0.305509182,0.556142443,0.534077154
36,36,07/10/2015 00:00,0.148729212,0.091819699,0.249787017,0.225619704
37,37,04/10/2015 05:00,0.054596799,0.013355593,0.001703868,0.010223146
38,38,05/10/2015 12:00,0.463131472,0.340567613,0.691429545,0.644873954
39,39,07/10/2015 22:00,0.318167556,0.248747913,0.514056909,0.474185569
40,40,05/10/2015 00:00,0.154690932,0.076794658,0.219628557,0.201792011
41,41,07/10/2015 06:00,0.165359272,0.041736227,0.039700119,0.061049418
42,42,08/10/2015 13:00,0.732036398,0.393989983,0.73504856,0.729132677
43,43,09/10/2015 06:00,0.180420458,0.061769616,0.039700119,0.065628125
44,44,10/10/2015 16:00,0.733919046,1,0.90799114,0.92508289
45,45,10/10/2015 22:00,0.371509256,0.302170284,0.632646107,0.580179991
46,46,06/10/2015 21:00,0.396297458,0.248747913,0.636224229,0.581627283
47,47,04/10/2015 09:00,0.727643552,0.398998331,0.535014483,0.57444345
48,48,08/10/2015 17:00,0.679008472,0.522537563,0.849378088,0.821693595
49,49,05/10/2015 09:00,0.393473486,0.405676127,0.550690066,0.531182569
50,50,10/10/2015 02:00,0.033887669,0.050083472,0.068836258,0.062351981
51,51,06/10/2015 16:00,0.772199561,0.465776294,0.837791787,0.82256197
52,52,10/10/2015 11:00,0.772513335,0.447412354,0.802692111,0.793629283
53,53,07/10/2015 01:00,0.083150298,0.068447412,0.136650196,0.124861849
54,54,09/10/2015 05:00,0.068402887,0.010016694,0.008348952,0.017328035
55,55,06/10/2015 20:00,0.484781927,0.305509182,0.63298688,0.599784222
56,56,05/10/2015 06:00,0.139002196,0.041736227,0.026750724,0.046629125
57,57,04/10/2015 23:00,0.218387198,0.153589316,0.368887374,0.335600758
58,58,09/10/2015 20:00,0.485723251,0.385642738,0.619696712,0.597889585
59,59,04/10/2015 11:00,0.796673988,0.41736227,0.69858579,0.71421241
60,60,08/10/2015 14:00,0.700972702,0.425709516,0.799795536,0.777169623
61,61,10/10/2015 19:00,0.63288359,0.307178631,0.767081274,0.728343245
62,62,08/10/2015 20:00,0.515845623,0.285475793,0.722780712,0.672280406
63,63,05/10/2015 04:00,0.003137747,0.01836394,0.004089283,0.003947161
64,64,05/10/2015 07:00,0.427988704,0.278797997,0.150281138,0.21477817
65,65,08/10/2015 08:00,0.962974584,0.662771285,1,1
66,66,07/10/2015 20:00,0.705365548,0.362270451,0.72925541,0.716935951
67,67,10/10/2015 03:00,0.004079071,0,0.02112796,0.015380769
68,68,04/10/2015 12:00,0.62692187,0.355592654,0.621059806,0.61954634
69,69,06/10/2015 12:00,0.679008472,0.38230384,0.7345374,0.718646387
70,70,04/10/2015 08:00,0.596799498,0.318864775,0.38762992,0.430477343
71,71,08/10/2015 07:00,0.446501412,0.460767947,0.342988584,0.385334982
72,72,10/10/2015 13:00,0.705365548,0.449081803,0.737263588,0.732014105
73,73,07/10/2015 21:00,0.470034515,0.247078464,0.625489862,0.585534972
