,Unnamed: 0,timestamp,0,1,2,3
0,0,06/10/2015 11:00,0.8396611233134607,0.4531772575250836,0.7972397341966264,0.8013657175938107
1,1,06/10/2015 23:00,0.2287417634138688,0.15886287625418066,0.3791105810189129,0.34591600442082004
2,2,09/10/2015 08:00,1.0,0.6906354515050167,0.9504174476060656,0.9708304826061788
3,3,07/10/2015 22:00,0.3181675556950109,0.24749163879598665,0.5140569091838474,0.4741855691805694
4,4,05/10/2015 19:00,0.5864449325384372,0.3193979933110368,0.7873573010734367,0.7375796010736277
5,5,05/10/2015 21:00,0.4166928145591465,0.24581939799331104,0.5706253194752088,0.5342218830587864
6,6,10/10/2015 16:00,0.7339190461248821,1.0,0.9079911398875448,0.9250828903741908
7,7,08/10/2015 12:00,0.5390649513649198,0.3729096989966556,0.7226103254387459,0.6851086784906057
8,8,05/10/2015 18:00,0.737056793222466,0.3645484949832776,0.8979383199863691,0.8528498500078943
9,9,06/10/2015 08:00,0.6921870097270157,0.4247491638795988,0.5268359175327995,0.5649176359138992
10,10,05/10/2015 08:00,0.4854094759962347,0.3645484949832776,0.4211961151814619,0.4425030261565181
11,11,06/10/2015 18:00,0.8478192657671788,0.3561872909698997,0.7544726529221333,0.7597889584758696
12,12,05/10/2015 02:00,0.030749921556322564,0.026755852842809368,0.04821945817004601,0.04368191147834325
13,13,08/10/2015 11:00,0.7072481957954186,0.4214046822742475,0.7541318793661612,0.7426188095363401
14,14,09/10/2015 02:00,0.038280514590523985,0.016722408026755856,0.0679843244164253,0.059181095731803586
15,15,05/10/2015 12:00,0.4631314716033888,0.33946488294314386,0.6914295450673028,0.6448739540024209
16,16,09/10/2015 01:00,0.06149984311264513,0.048494983277591976,0.14244334639631967,0.12382243039840005
17,17,07/10/2015 15:00,0.8995920928773137,0.5769230769230769,0.8948713579826206,0.8994658175885479
18,18,08/10/2015 22:00,0.30310636962660803,0.2792642140468228,0.5273470778667576,0.4851718330614178
19,19,04/10/2015 17:00,0.6912456855977406,0.4832775919732441,0.8960640654285228,0.8558628493237198
20,20,07/10/2015 11:00,0.8114213994352053,0.3929765886287625,0.8135968648832851,0.8031024682911425
21,21,08/10/2015 02:00,0.022905553812362714,0.0250836120401338,0.06917703186232749,0.05837850639440027
22,22,06/10/2015 10:00,0.915594603074992,0.5066889632107023,0.7520872380303288,0.7847086995421293
23,23,10/10/2015 17:00,0.9519924694069656,0.6638795986622076,0.9241778837962176,0.9397794852902476
24,24,09/10/2015 04:00,0.0,0.0,0.0018742545578463168,0.0
25,25,06/10/2015 02:00,0.021964229683087533,0.02173913043478261,0.07667405009371273,0.06366770169991053
26,26,04/10/2015 19:00,0.4816441794791338,0.2625418060200669,0.6823990458340433,0.6331377295931793
27,27,04/10/2015 16:00,0.4728584876058989,0.4431438127090301,0.7899131027432271,0.7331587811167832
28,28,10/10/2015 13:00,0.7053655475368683,0.4481605351170569,0.7372635883455444,0.7320141045208147
29,29,05/10/2015 20:00,0.516159397552557,0.3110367892976589,0.6234452206508775,0.5983632440397874
30,30,08/10/2015 10:00,0.7411358644493251,0.4916387959866221,0.8008178565343331,0.7915372875111836
31,31,08/10/2015 00:00,0.13837464700345148,0.07357859531772576,0.25881751576077694,0.2291458344297669
32,32,09/10/2015 16:00,0.8330718544085344,0.5334448160535117,0.9195774407905948,0.9029393189832112
33,33,09/10/2015 19:00,0.6774395983683713,0.4431438127090301,0.8330209575736923,0.8007604862901953
34,34,06/10/2015 21:00,0.3962974584248509,0.24749163879598665,0.6362242289998297,0.5816272827745907
35,35,05/10/2015 14:00,0.7505491057420769,0.4030100334448161,0.7416936445731812,0.7383953476132835
36,36,06/10/2015 20:00,0.4847819265767178,0.3043478260869565,0.6329868802180951,0.5997842218830588
37,37,06/10/2015 01:00,0.07718857860056479,0.05518394648829431,0.132390526495144,0.11937529603705067
38,38,10/10/2015 20:00,0.5117665516159398,0.29431438127090304,0.6387800306696201,0.6077574864480818
39,39,09/10/2015 21:00,0.3997489802321932,0.2809364548494983,0.7466348611347758,0.6708857428556391
40,40,10/10/2015 11:00,0.7725133354251644,0.4464882943143813,0.8026921110921793,0.7936292826693332
41,41,06/10/2015 09:00,0.8252274866645746,0.4916387959866221,0.6036803544044983,0.6534129782643018
42,42,04/10/2015 15:00,0.6495136491998742,0.4063545150501672,0.7721928778326802,0.7453423504026104
43,43,08/10/2015 16:00,0.6849701914025728,0.4431438127090301,0.8451184188107004,0.8113651913057206
44,44,09/10/2015 23:00,0.229683087543144,0.16555183946488294,0.3954677117055717,0.35938897952739324
45,45,10/10/2015 21:00,0.475368685283966,0.2926421404682274,0.6072584767422048,0.5771406768064838
46,46,09/10/2015 07:00,0.6714778788829617,0.45150501672240795,0.32475719884136994,0.40813641387295396
47,47,08/10/2015 18:00,0.7518042045811104,0.5117056856187291,0.7098313170897939,0.7251197305404977
48,48,07/10/2015 18:00,0.8522121117037964,0.6438127090301003,0.7640143124893509,0.7973132993000368
49,49,10/10/2015 22:00,0.3715092563539378,0.3010033444816053,0.6326461066621231,0.5801799905268143
50,50,06/10/2015 12:00,0.6790084719171633,0.3812709030100335,0.7345373998977679,0.7186463870322614
51,51,06/10/2015 00:00,0.14433636648886095,0.07190635451505017,0.24706082807974103,0.2208962686174412
52,52,07/10/2015 09:00,0.8525258864135548,0.5066889632107023,0.6566706423581531,0.7004499763170359
53,53,08/10/2015 20:00,0.5158456228427987,0.2842809364548495,0.722780712216732,0.6722804062944056
54,54,09/10/2015 11:00,0.8606840288672729,0.479933110367893,0.8011586300903051,0.8106547023840849
