timestamp,Qmc
152,10/10/2015 09:00,1185.6000000000001
153,10/10/2015 10:00,1152.8
154,10/10/2015 11:00,1046.8
155,10/10/2015 12:00,939.6
156,10/10/2015 13:00,961.2
157,10/10/2015 14:00,1230.0
158,10/10/2015 15:00,905.6
159,10/10/2015 16:00,997.6
160,10/10/2015 17:00,1275.6000000000001
161,10/10/2015 18:00,1298.0
162,10/10/2015 19:00,868.8000000000001
163,10/10/2015 20:00,714.4000000000001
164,10/10/2015 21:00,668.0
165,10/10/2015 22:00,535.6
166,10/10/2015 23:00,417.6
167,11/10/2015 00:00,265.2
